canonical_vendor_name,canonical_line_item_name
Xiamen ZhiZhi Tech,Arch: Isaac
Xiamen ZhiZhi Tech,Web: Carter
Xiamen ZhiZhi Tech,Web: Fred
Xiamen ZhiZhi Tech,Web: Jesse
Xiamen ZhiZhi Tech,QA: Joy
Xiamen ZhiZhi Tech,PM: Maggie
Xiamen ZhiZhi Tech,PM: Tina
Zogby Analytics,Domestic Online Survey
Adjust,Additional attributions
Adjust,Business Package
AdLift,Content Marketing
AdLift,SEO Services
Adobe,Acrobat Pro DC
Adobe,Creative Cloud All Apps
Alex Gasaway,YouTube Integration
Amazon.com,"Lenovo 15.6"" ThinkPad T580 Touchscreen LCD Notebook Intel Core i7 (8th Gen)"
Amazon.com,"Dell (S2718D) S series 27-Inch Screen LED-Lit Monitor, Black/Silver Stand"
Amazon.com,Logitech HD Pro Webcam C920
Amazon.com,Mxl AC404 USB Conference Microphone in White
Amazon.com,E-mail gift card
Amazon.com,"Lenovo 500 Wireless Combo Keyboard & Mouse, Black"
Amazon.com,"Lenovo ThinkPad T580 Laptop, 15-Inch High Performance Windows Laptop"
Amazon.com,"Lenovo ThinkPad X1 Carbon 14"" FHD IPS Touchscreen Ultrabook Laptop Computer, 8th Gen Intel"
Amazon.com,"Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs, Doerr, John"
Amazon.com,"Yealink CP960 Conference IP Phone, 5-Inch Color Touch Screen"
Amazon.com,Yealink CPW90 Microphone
Amelia Willson,"1,500-2,000 words"
Amelia Willson,"900-1,500 words"
Amelia Willson,Trial Assignment
APCIA,Net Associate - Annual Fee
Amplitude,Amplitude Dedicated Customer Success
Amplitude,Amplitude Growth Platform
Amplitude,Amplitude Platform Data Volume
Amplitude,Overage fee
Andersen Tax,Hourly Services: Tax Services
Intrequant,Retainer
Intrequant,Expenses
InVision,Unlimited InVision Enterprise Users
iStock,iStock credits
iStock,Promotion
Appjobs,Hourly Services
Apple,APPLECARE+
Apple,iPad mini Wi-Fi 64GB - Space Grey
Apple,Mac mini
Apple Search Ads,239040343US-VF_Discovery
Apple Search Ads,286291426US-VF_Competitors
Apple Search Ads,291373211US-VF_Brand
Apple Search Ads,251250095US-Brand_EM
Apple Search Ads,Apple Search Ads: Other
Apple,MBA 13.3 SG/1.6GHZ/8GB/256GB-USA
Apple,MBP 13.3 SG/2.7GHZ QC/16GB/1TB
Gallagher,Premium Tax
Gallagher,Directors & Officers
DigiCert,Geo Trust True Business ID Wildcard 2-Year
Asana,Organization Annual
Duff & Phelps,Professional services: Fees
Duff & Phelps,Expenses
Dynamo Partners,Campaign Management
Dynamo Partners,Credit note
Athorus,Hourly Services: BYH
Facebook Ads,Facebook Ads
Barrett Associates,Filing Fees
Andersen Tax,Hourly Services: Legal Services
Microsoft Azure,SQL Database: Single Standard S3 DTUs
Microsoft Azure,Storage: Files LRS Data Stored
Microsoft Azure,Storage: General Block Blob Delete Operations
Microsoft Azure,Storage: General Block Blob Read Operations
Microsoft Azure,Storage: General Block Blob Write Operations
Microsoft Azure,Storage: Premium Page Blob LRS Snapshots US East
Microsoft Azure,Storage: Premium SSD Managed Disks LRS Snapshots US East
Microsoft Azure,Storage: Premium SSD Managed Disks P10 Disks US East
Microsoft Azure,Storage: Standard HDD Managed Disks Disk Operations
Microsoft Azure,Storage: Standard HDD Managed Disks LRS Snapshots US East
Microsoft Azure,Storage: Standard HDD Managed Disks S10 Disks US East
Microsoft Azure,Storage: Standard Page Blob Disk Read Operations
Microsoft Azure,Storage: Standard Page Blob Disk Write Operations
Microsoft Azure,Storage: Standard Page Blob LRS Data Stored
Microsoft Azure,Virtual Machines
Microsoft Azure,Virtual Network
Consultus,Non-Hourly Services: Professional Services
Microsoft Azure,Storage: Standard SSD Managed Disks Disk Operations
Microsoft Azure,Storage: Standard SSD Managed Disks E10 Disks US East
Microsoft Azure,Storage: Tables Batch Write Operations
Microsoft Azure,Storage: Tables LRS Data Stored
Microsoft Azure,Storage: Tables Read Operations
Athorus,Filing Fees
Westmont Associates,Hourly Services: DJR
Westmont Associates,Hourly Services: EB
Westmont Associates,Hourly Services: WP
Westmont Associates,Hourly Services: BRH
Westmont Associates,Hourly Services: FD
Westmont Associates,Hourly Services: JFC
Westmont Associates,Hourly Services: JFO
Westmont Associates,Hourly Services: JK
Westmont Associates,Expenses: Buzzy P&C and Surplus Line Renewal
Westmont Associates,Expenses: Lexis Fees
Microsoft Azure,Storage: Premium SSD Managed Disks P30
Microsoft Azure,Storage: General Block Blob LRS Data Stored
STIGroup,Agreement Cybersecurity Program Implementation & Operations - Part 1
Staples,"Staples Carpet Chair Mat, 36"" x 48', Crystal Clear (STP-17436)"
Staples,"Staples Carder Mesh Back Fabric Computer and Desk Chair, Black (24115-CC)"
RELX Inc.,LexisNexis Subscription Content Feature
